"server","user_action","details","created_on"
"public.portaler.zone","add","{""conns"":[""Foues-Aeaosum"",""Oynites-Araosum""],""expires"":""2021-03-10T20:11:08.038Z""}","2021-03-10 07:16:08.050096+00"
"public.portaler.zone","add","{""conns"":[""Fynitos-Egoisum"",""Oynites-Araosum""],""expires"":""2021-03-10T12:19:45.591Z""}","2021-03-10 07:14:45.603182+00"
"public.portaler.zone","add","{""conns"":[""Fynitos-Egoisum"",""Stonelake Fields""],""expires"":""2021-03-10T19:35:38.609Z""}","2021-03-10 07:14:38.619923+00"
"public.portaler.zone","add","{""conns"":[""Fynitos-Egoisum"",""Westweald Shore""],""expires"":""2021-03-10T15:59:31.286Z""}","2021-03-10 07:14:31.403824+00"
"public.portaler.zone","add","{""conns"":[""Fynitos-Egoisum"",""Sasitos-Umogaum""],""expires"":""2021-03-10T11:14:06.354Z""}","2021-03-10 07:13:06.373895+00"
"public.portaler.zone","add","{""conns"":[""Hiros-Iuaerom"",""Xebos-Emimsum""],""expires"":""2021-03-10T15:08:20.703Z""}","2021-03-10 07:11:20.711091+00"
"public.portaler.zone","add","{""conns"":[""Hiros-Iuaerom"",""Lewsdon Hill""],""expires"":""2021-03-10T12:10:12.448Z""}","2021-03-10 07:11:12.461534+00"
"public.portaler.zone","add","{""conns"":[""Hiros-Iuaerom"",""Sasitos-Umogaum""],""expires"":""2021-03-10T19:46:03.831Z""}","2021-03-10 07:11:03.845061+00"
"public.portaler.zone","add","{""conns"":[""Creag Garr"",""Hiros-Iuaerom""],""expires"":""2021-03-10T17:55:54.976Z""}","2021-03-10 07:10:54.986846+00"
"public.portaler.zone","add","{""conns"":[""Kindlegrass Steppe"",""Wyre Forest""],""expires"":""2021-04-21T14:47:18.878Z""}","2021-03-10 07:08:18.89298+00"
"public.portaler.zone","add","{""conns"":[""Kindlegrass Steppe"",""Shiftshadow Expanse""],""expires"":""2021-04-21T14:47:07.207Z""}","2021-03-10 07:08:07.226772+00"
"public.portaler.zone","add","{""conns"":[""Deadvein Gully"",""Shiftshadow Expanse""],""expires"":""2021-04-21T14:46:59.227Z""}","2021-03-10 07:07:59.243774+00"
"public.portaler.zone","add","{""conns"":[""Deadvein Gully"",""Wyre Forest""],""expires"":""2021-04-21T14:46:43.436Z""}","2021-03-10 07:07:43.452672+00"
"public.portaler.zone","add","{""conns"":[""Highbole Glen"",""Murkweald""],""expires"":""2021-04-21T14:46:28.335Z""}","2021-03-10 07:07:28.345102+00"
"public.portaler.zone","add","{""conns"":[""Longtimber Glen"",""Murkweald""],""expires"":""2021-04-21T14:46:22.390Z""}","2021-03-10 07:07:22.403469+00"
"public.portaler.zone","add","{""conns"":[""Drywater Meadow"",""Steelhide Meadow""],""expires"":""2021-04-21T14:16:37.519Z""}","2021-03-10 06:37:37.530608+00"
"public.portaler.zone","add","{""conns"":[""Cetos-Obaelos"",""Drywater Meadow""],""expires"":""2021-03-10T06:45:26.851Z""}","2021-03-10 06:37:26.864134+00"
"public.portaler.zone","add","{""conns"":[""Drywater Meadow"",""Oasos-Uromlum""],""expires"":""2021-03-10T11:30:49.885Z""}","2021-03-10 06:36:49.898701+00"
"public.portaler.zone","add","{""conns"":[""Drywater Meadow"",""Ferndell""],""expires"":""2021-04-21T14:13:22.087Z""}","2021-03-10 06:34:22.09591+00"
"public.portaler.zone","add","{""conns"":[""Ferndell"",""Lymhurst""],""expires"":""2021-04-21T14:13:10.281Z""}","2021-03-10 06:34:10.296621+00"
"public.portaler.zone","add","{""conns"":[""Ferndell"",""Oures-Araosum""],""expires"":""2021-03-11T02:20:59.335Z""}","2021-03-10 06:33:59.346751+00"
"public.portaler.zone","add","{""conns"":[""Ferndell"",""Pures-Ouozlum""],""expires"":""2021-03-10T09:17:22.895Z""}","2021-03-10 06:33:22.906609+00"
"public.portaler.zone","add","{""conns"":[""Firos-Aiavam"",""Flatrock Cliffs""],""expires"":""2021-03-10T02:00:39.308Z""}","2021-03-09 22:06:39.317377+00"
"public.portaler.zone","delete","{""id"":93594,""size"":0,""conn1"":""Cedarcopse"",""conn2"":""Rowanwood"",""expires"":""2021-04-21T01:39:54.021+00:00"",""server_id"":3,""created_by"":333,""created_on"":""2021-03-09T18:00:54.023228+00:00""}","2021-03-09 21:59:16.633467+00"
"public.portaler.zone","delete","{""id"":93092,""size"":0,""conn1"":""Cairn Gorm"",""conn2"":""Tharcal Fissure"",""expires"":""2021-04-21T00:49:33.384+00:00"",""server_id"":3,""created_by"":333,""created_on"":""2021-03-09T11:25:02.53758+00:00""}","2021-03-09 21:59:12.491683+00"
"public.portaler.zone","delete","{""id"":91578,""size"":0,""conn1"":""Cairn Darg"",""conn2"":""Mawar Gorge"",""expires"":""2021-04-19T16:55:19.464+00:00"",""server_id"":3,""created_by"":333,""created_on"":""2021-03-08T09:16:19.466682+00:00""}","2021-03-09 21:59:08.916731+00"
"public.portaler.zone","delete","{""id"":91830,""size"":0,""conn1"":""Lazygrass Plain"",""conn2"":""Snapshaft Trough"",""expires"":""2021-04-19T20:46:58.375+00:00"",""server_id"":3,""created_by"":333,""created_on"":""2021-03-08T13:07:58.377679+00:00""}","2021-03-09 21:59:04.88383+00"
"public.portaler.zone","delete","{""id"":93099,""size"":0,""conn1"":""Cairn Gorm"",""conn2"":""Pen Kerrig"",""expires"":""2021-04-20T19:06:23.324+00:00"",""server_id"":3,""created_by"":333,""created_on"":""2021-03-09T11:27:23.325914+00:00""}","2021-03-09 21:59:01.083851+00"
"public.portaler.zone","delete","{""id"":91426,""size"":0,""conn1"":""Mardale"",""conn2"":""Runnel Sink"",""expires"":""2021-04-19T11:51:57.886+00:00"",""server_id"":3,""created_by"":1625,""created_on"":""2021-03-08T04:12:57.888144+00:00""}","2021-03-09 21:58:54.809032+00"
