"server","user_action","details","created_on"
"public.portaler.zone","add","{""conns"":[""Oebitos-Eraerom"",""Pebos-Avosrom""],""expires"":""2021-01-16T02:01:38.038Z""}","2021-01-16 01:44:38.051857+00"
"public.portaler.zone","add","{""conns"":[""Munten Rise"",""Pebos-Avosrom""],""expires"":""2021-01-16T11:59:19.660Z""}","2021-01-16 01:44:19.677598+00"
"public.portaler.zone","add","{""conns"":[""Casitos-Alieam"",""Pebos-Avosrom""],""expires"":""2021-01-16T21:52:49.212Z""}","2021-01-16 01:40:49.227131+00"
"public.portaler.zone","add","{""conns"":[""Casitos-Alieam"",""Xynitos-Obursum""],""expires"":""2021-01-16T20:55:03.029Z""}","2021-01-16 01:39:03.03993+00"
"public.portaler.zone","add","{""conns"":[""Couos-Opodam"",""Settun-Tersom""],""expires"":""2021-01-16T17:13:34.271Z""}","2021-01-15 23:01:34.303269+00"
"public.portaler.zone","add","{""conns"":[""Couos-Opodam"",""Tasitos-Obayam""],""expires"":""2021-01-16T15:57:13.431Z""}","2021-01-15 23:01:13.445618+00"
"public.portaler.zone","add","{""conns"":[""Couos-Opodam"",""Xynitos-Obursum""],""expires"":""2021-01-16T00:41:32.656Z""}","2021-01-15 22:28:32.671288+00"
"public.portaler.zone","add","{""conns"":[""Flatrock Plateau"",""Xynitos-Obursum""],""expires"":""2021-01-16T04:44:07.300Z""}","2021-01-15 22:28:07.305626+00"
"public.portaler.zone","add","{""conns"":[""Casos-Aiagsum"",""Xynitos-Obursum""],""expires"":""2021-01-16T00:46:21.700Z""}","2021-01-15 22:27:21.707693+00"
"public.portaler.zone","add","{""conns"":[""Heros-Atoyam"",""Runnelvein Sink""],""expires"":""2021-01-16T21:48:08.614Z""}","2021-01-15 22:23:08.625104+00"
"public.portaler.zone","add","{""conns"":[""Heros-Atoyam"",""Runnelvein Slough""],""expires"":""2021-01-16T05:47:53.868Z""}","2021-01-15 22:22:53.883997+00"
"public.portaler.zone","add","{""conns"":[""Heros-Atoyam"",""Whitebank Portal South""],""expires"":""2021-01-16T04:30:42.091Z""}","2021-01-15 22:22:42.101016+00"
"public.portaler.zone","add","{""conns"":[""Thirstwater Waste"",""Xynitos-Obursum""],""expires"":""2021-01-16T10:03:42.046Z""}","2021-01-15 22:21:42.061775+00"
"public.portaler.zone","add","{""conns"":[""Hebitos-Atontum"",""Sectun-Oc-Odesis""],""expires"":""2021-01-16T16:21:31.441Z""}","2021-01-15 22:19:31.450043+00"
"public.portaler.zone","add","{""conns"":[""Hebitos-Atontum"",""Heros-Atoyam""],""expires"":""2021-01-16T04:01:20.198Z""}","2021-01-15 22:19:20.208777+00"
"public.portaler.zone","add","{""conns"":[""Frostseep Ravine"",""Siros-Ofurlos""],""expires"":""2021-01-16T03:21:03.110Z""}","2021-01-15 22:17:03.122335+00"
